text,intent
hi,greeting
hello,greeting
hey,greeting
hey there,greeting
hi there,greeting
good morning,greeting
good evening,greeting
good afternoon,greeting
howdy,greeting
what's up,greeting
sup,greeting
yo,greeting
hello bot,greeting
hi bot,greeting
hey bot,greeting
start,greeting
are you there,greeting
anyone there,greeting
can you help me,greeting
let’s start,greeting
how do i use this platform,faq
how to login,faq
how to reset my password,faq
where can i find my courses,faq
how to enroll in a course,faq
how to start training,faq
how do i access sessions,faq
where is my dashboard,faq
how to change my profile details,faq
how to update email,faq
how to contact support,faq
how to raise a ticket,faq
how to download certificate,faq
where can i see my progress,faq
how to complete a course,faq
how to retake a test,faq
how to view assignments,faq
how do i join live sessions,faq
how to watch recordings,faq
how to upload assignments,faq
how to update phone number,faq
how do i logout,faq
how to switch language,faq
how do i change password,faq
how to delete my account,faq
what is the refund policy,policy
tell me refund rules,policy
is there any refund,policy
what is cancellation policy,policy
what is privacy policy,policy
how is my data used,policy
do you store personal data,policy
what are the terms and conditions,policy
tell me terms of service,policy
what is user agreement,policy
is my data secure,policy
how long is my data stored,policy
what is cookie policy,policy
can i delete my data,policy
gdpr compliance,policy
is my information shared,policy
who can access my data,policy
what is data retention policy,policy
what happens if i violate rules,policy
account suspension policy,policy
tell me about the company policy,policy
tell me about company policies,policy
explain the company policy,policy
explain refund policy in detail,policy
i want to know about refund policy,policy
please explain your refund policy,policy
tell me about your privacy policy,policy
explain privacy and data policy,policy
company data policy,policy
platform privacy policy,policy
what is your company policy,policy
what policies does your company have,policy
tell me the rules and policies,policy
explain platform rules,policy
terms policies and rules,policy
can you tell me how my data is handled,policy
i want to know who can access my data,policy
is my personal data shared with others,policy
how does the company protect user data,policy
what happens to my data if i delete my account,policy
can i permanently delete my personal data,policy
how long do you keep my personal information,policy
is my data safe on this platform,policy
what is machine learning,knowledge
explain artificial intelligence,knowledge
what is deep learning,knowledge
difference between ml and ai,knowledge
what is nlp,knowledge
explain tf idf,knowledge
what is logistic regression,knowledge
what is intent classification,knowledge
what is supervised learning,knowledge
explain classification,knowledge
what is vectorization,knowledge
what is text preprocessing,knowledge
what is stemming,knowledge
what is lemmatization,knowledge
what is cosine similarity,knowledge
what is large language model,knowledge
what is chatbot,knowledge
what is retrieval augmented generation,knowledge
what is fine tuning,knowledge
what is prompt engineering,knowledge
tell me a joke,out_of_scope
sing a song,out_of_scope
what is today's weather,out_of_scope
who is the president of usa,out_of_scope
book a cab,out_of_scope
order food,out_of_scope
play music,out_of_scope
open youtube,out_of_scope
call my friend,out_of_scope
set an alarm,out_of_scope
what is the stock price,out_of_scope
cricket score today,out_of_scope
movie recommendations,out_of_scope
who will win election,out_of_scope
generate image,out_of_scope
write a poem,out_of_scope
translate this text,out_of_scope
solve math problem,out_of_scope
tell me a story,out_of_scope
what is your name,out_of_scope
who created you,out_of_scope
are you human,out_of_scope
do my homework,out_of_scope
hack this account,out_of_scope
give me free money,out_of_scope
tell me about your company,out_of_scope
what does your company do,out_of_scope
who owns this company,out_of_scope
where is your company located,out_of_scope
tell me about your business,out_of_scope
